year,event,session,driver,driver_number,team,lap_number,stint,compound,tyre_life,fresh_tyre,lap_time_s,sector1_s,sector2_s,sector3_s,position,track_status,deleted,is_accurate,is_pit_lap,is_green,fuel_kg_burned,lap_time_fuel_corr_s,assumed_harvest_mj,air_temp_c,track_temp_c,rainfall,sess_FP1,sess_FP2,sess_FP3,sess_Q,sess_R,y_fuel_s,a_y_pred,residual_s
2026,Silverstone,FP1,NOR,1,McLaren,24.0,4.0,SOFT,6.0,False,123.585,41.116,49.246,33.223,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,123.585,92.7090512699069,30.8759487300931
2026,Silverstone,FP1,NOR,1,McLaren,25.0,4.0,SOFT,7.0,False,125.534,37.931,46.601,41.002,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,125.534,92.7090512699069,32.82494873009311
2026,Silverstone,FP1,NOR,1,McLaren,26.0,4.0,SOFT,8.0,False,,73.267,43.945,38.897,,1,,False,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,,92.7090512699069,
2026,Silverstone,FP1,NOR,1,McLaren,27.0,4.0,SOFT,9.0,False,125.887,59.883,37.664,28.34,,1,,False,True,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,125.887,92.7090512699069,33.17794873009311
2026,Silverstone,FP1,VER,3,Red Bull Racing,1.0,1.0,HARD,1.0,True,,,44.64,38.005,,1,,False,True,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,,92.27598817187717,
2026,Silverstone,FP1,VER,3,Red Bull Racing,2.0,1.0,HARD,2.0,True,92.653,29.301,37.645,25.707,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,92.653,92.27598817187717,0.37701182812283207
2026,Silverstone,FP1,VER,3,Red Bull Racing,3.0,1.0,HARD,3.0,True,145.112,47.98,55.759,41.373,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,145.112,92.27598817187717,52.83601182812282
2026,Silverstone,FP1,VER,3,Red Bull Racing,4.0,1.0,HARD,4.0,True,91.277,28.789,37.017,25.471,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,91.277,92.27598817187717,-0.9989881718771727
2026,Silverstone,FP1,VER,3,Red Bull Racing,5.0,1.0,HARD,5.0,True,,52.115,61.943,41.829,,1,,False,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,,92.27598817187717,
2026,Silverstone,FP1,VER,3,Red Bull Racing,6.0,1.0,HARD,6.0,True,116.106,30.198,46.679,39.229,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,116.106,92.27598817187717,23.83001182812282
2026,Silverstone,FP1,VER,3,Red Bull Racing,7.0,1.0,HARD,7.0,True,92.646,28.951999999999998,37.113,26.581,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,92.646,92.27598817187717,0.37001182812282707
2026,Silverstone,FP1,VER,3,Red Bull Racing,8.0,1.0,HARD,8.0,True,99.867,31.751,41.769,26.347,,1,,False,True,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,99.867,92.27598817187717,7.591011828122831
2026,Silverstone,FP1,VER,3,Red Bull Racing,9.0,2.0,HARD,9.0,False,,,38.335,26.666,,1,,False,True,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,,92.27598817187717,
2026,Silverstone,FP1,VER,3,Red Bull Racing,10.0,2.0,HARD,10.0,False,93.039,29.762,37.812,25.465,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,93.039,92.27598817187717,0.7630118281228278
2026,Silverstone,FP1,VER,3,Red Bull Racing,11.0,2.0,HARD,11.0,False,94.128,30.043,38.252,25.833,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,94.128,92.27598817187717,1.8520118281228264
2026,Silverstone,FP1,VER,3,Red Bull Racing,12.0,2.0,HARD,12.0,False,93.633,29.581,38.27,25.782,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,93.633,92.27598817187717,1.3570118281228218
