session,driver_number,driver,lap_number,stint,compound,tyre_age,lap_time_s,fuel_est_kg,te_index,min_gap_s,traffic_flag,air_temp,track_temp,e_deploy_lap_mj,e_harvest_lap_mj,soc_min_lap_mj,n_empty_battery_clips,n_superclips,empty_clip_duration_s,superclip_duration_s,lift_coast_duration_s,fuel_in_stint_kg,is_representative
R,1,NOR,31.0,2.0,HARD,19.0,84.094,46.0,6.236369590203704,inf,0,25.2,37.3,6.590831928293458,3.7017934699435893,0.6825182613041603,15,0,29.199999999999992,0.0,14.4,-32.4,1
R,1,NOR,32.0,2.0,HARD,20.0,84.075,44.199999999999996,6.270988431858299,inf,0,25.2,37.0,6.755854511721715,3.8973766571196093,0.466917915949191,15,0,31.099999999999987,0.0,14.700000000000001,-34.2,1
R,1,NOR,33.0,2.0,HARD,21.0,84.79,42.4,6.304448802421981,inf,0,25.1,37.2,6.7026865940774005,3.9689584080582274,0.7365785686112414,16,0,25.299999999999994,0.0,14.9,-36.0,1
R,1,NOR,36.0,3.0,MEDIUM,1.0,83.324,37.0,6.380122536899765,inf,0,25.2,37.8,6.081117753816183,3.8964897357538577,0.9749489358235764,16,0,30.700000000000024,0.0,15.3,0.0,1
R,1,NOR,37.0,3.0,MEDIUM,2.0,83.448,35.2,6.406879986069314,inf,0,25.2,37.0,6.0941470744036055,3.9872321314126964,1.1047442674384504,15,1,29.90000000000002,0.6,16.1,-1.8,1
R,1,NOR,38.0,3.0,MEDIUM,3.0,83.423,33.39999999999999,6.431331081933479,inf,0,25.1,35.9,5.189466734832202,4.426950544828465,1.5939253283651456,13,0,27.90000000000002,0.0,18.0,-3.6,1
R,1,NOR,39.0,3.0,MEDIUM,4.0,84.001,31.599999999999994,6.455198563340122,inf,0,25.0,35.7,6.527546393981313,3.543624036618216,0.1473509248256834,17,0,27.600000000000005,0.0,16.5,-5.4,1
R,1,NOR,40.0,3.0,MEDIUM,5.0,83.397,29.799999999999997,6.480044561926653,inf,0,25.0,35.5,7.1652815892612445,3.5200435743734904,0.13392251132596694,22,0,30.299999999999986,0.0,16.2,-7.2,1
R,1,NOR,41.0,3.0,MEDIUM,6.0,83.762,28.0,6.502790045915623,inf,0,25.0,35.5,6.673917456678366,3.531005521660777,0.4442741485566123,14,0,29.800000000000008,0.0,16.0,-9.0,1
R,1,NOR,42.0,3.0,MEDIUM,7.0,83.347,26.200000000000003,6.525029657843462,inf,0,25.0,35.4,6.977560148013933,3.6335043898322974,0.20917203688066052,16,0,30.199999999999974,0.0,15.0,-10.8,1
