session,driver_number,driver,lap_number,stint,compound,tyre_age,lap_time_s,fuel_est_kg,te_index,min_gap_s,traffic_flag,air_temp,track_temp,e_deploy_lap_mj,e_harvest_lap_mj,soc_min_lap_mj,n_empty_battery_clips,n_superclips,empty_clip_duration_s,superclip_duration_s,lift_coast_duration_s,fuel_in_stint_kg,is_representative
FP2,1,NOR,2.0,1.0,HARD,1.0,85.952,58.2,1.0986122886681096,inf,0,22.4,31.7,6.971616929899687,4.795497866652616,0.03408604700613364,16,0,28.60000000000002,0.0,15.600000000000001,0.0,1
FP2,1,NOR,3.0,1.0,HARD,2.0,98.255,56.4,2.5649493574615367,inf,1,22.5,32.0,5.784804754412752,5.021568572734321,0.11394008409066693,12,0,23.899999999999984,0.0,20.900000000000002,-1.8,1
FP2,1,NOR,6.0,2.0,HARD,1.0,82.712,51.0,4.727387818712341,inf,0,22.6,31.8,7.449370553219734,5.065940320407258,0.34426542888120504,17,0,32.200000000000024,0.0,13.100000000000001,0.0,1
FP2,1,NOR,7.0,2.0,HARD,2.0,83.473,49.2,4.762173934797756,inf,0,22.5,31.9,7.83157625543146,4.781096444226338,0.14095315690897117,17,0,33.200000000000024,0.0,12.700000000000001,-1.8,1
FP2,1,NOR,8.0,2.0,HARD,3.0,82.69,47.4,4.787491742782046,inf,0,22.6,31.8,8.227520571007531,4.579615975969394,0.026020225087497878,21,0,33.300000000000004,0.0,12.700000000000001,-3.6,1
FP2,1,NOR,9.0,2.0,HARD,4.0,83.03,45.6,4.804021044733257,inf,0,22.6,31.8,7.8785687621156715,4.181381998651317,0.00845368235265743,15,1,36.59999999999999,0.8000000000000002,11.600000000000001,-5.4,1
FP2,1,NOR,12.0,3.0,HARD,1.0,81.94,40.2,4.890349128221754,inf,0,22.6,33.2,7.608057242491384,5.020251946821559,0.07721894430357056,12,1,31.49999999999999,6.3999999999999995,11.3,0.0,1
FP2,1,NOR,15.0,4.0,SOFT,1.0,80.794,34.8,5.313205979041787,inf,0,22.4,34.5,7.896432522053143,5.102495836617645,0.1459759706819884,19,0,32.40000000000001,0.0,10.8,0.0,1
FP2,1,NOR,16.0,4.0,SOFT,2.0,116.348,33.0,5.342334251964811,inf,1,22.3,34.7,0.11151864894546917,1.964739688959186,3.8884813510545313,1,0,0.3999999999999998,0.0,38.900000000000006,-1.8,0
FP2,1,NOR,17.0,4.0,SOFT,3.0,110.04,31.2,5.389071729816501,inf,1,22.3,34.3,0.8596706115433972,1.5974430796376342,3.140329388456599,0,0,0.0,0.0,34.800000000000004,-3.6,0
