year,event,session,driver,driver_number,team,lap_number,stint,compound,tyre_life,fresh_tyre,lap_time_s,sector1_s,sector2_s,sector3_s,position,track_status,is_accurate,is_pit_lap,is_green,fuel_kg_burned,assumed_harvest_mj,air_temp_c,track_temp_c,rainfall,sess_FP1,sess_FP2,sess_FP3,sess_Q,sess_R,y_fuel_s,a_y_pred,residual_s
2026,Silverstone,FP1,NOR,1,McLaren,2.0,1.0,HARD,2.0,True,93.212,29.313,37.423,26.476,,1,True,False,True,0.0,8.5,22.023809523809526,40.70119047619047,False,True,False,False,False,False,93.212,91.55060351389753,1.6613964861024755
2026,Silverstone,FP1,NOR,1,McLaren,5.0,1.0,HARD,5.0,True,92.179,29.139,37.392,25.648,,1,True,False,True,0.0,8.5,22.023809523809526,40.70119047619047,False,True,False,False,False,False,92.179,91.55060351389753,0.6283964861024742
2026,Silverstone,FP1,NOR,1,McLaren,7.0,1.0,HARD,7.0,True,91.595,28.898,37.099,25.598,,1,True,False,True,0.0,8.5,22.023809523809526,40.70119047619047,False,True,False,False,False,False,91.595,91.55060351389753,0.044396486102471044
2026,Silverstone,FP1,NOR,1,McLaren,11.0,2.0,HARD,11.0,False,91.575,28.886,36.989,25.7,,1,True,False,True,0.0,8.5,22.023809523809526,40.70119047619047,False,True,False,False,False,False,91.575,91.55060351389753,0.024396486102475023
2026,Silverstone,FP1,NOR,1,McLaren,13.0,2.0,HARD,13.0,False,94.02,29.684,37.637,26.699,,1,True,False,True,0.0,8.5,22.023809523809526,40.70119047619047,False,True,False,False,False,False,94.02,91.55060351389753,2.469396486102468
2026,Silverstone,FP1,NOR,1,McLaren,14.0,2.0,HARD,14.0,False,92.289,29.051,37.433,25.805,,1,True,False,True,0.0,8.5,22.023809523809526,40.70119047619047,False,True,False,False,False,False,92.289,91.55060351389753,0.7383964861024737
2026,Silverstone,FP1,NOR,1,McLaren,16.0,2.0,HARD,16.0,False,93.92,29.632,37.981,26.307,,1,True,False,True,0.0,8.5,22.023809523809526,40.70119047619047,False,True,False,False,False,False,93.92,91.55060351389753,2.369396486102474
2026,Silverstone,FP1,NOR,1,McLaren,17.0,2.0,HARD,17.0,False,94.028,30.247,37.947,25.834,,1,True,False,True,0.0,8.5,22.023809523809526,40.70119047619047,False,True,False,False,False,False,94.028,91.55060351389753,2.477396486102478
2026,Silverstone,FP1,NOR,1,McLaren,20.0,3.0,SOFT,2.0,True,90.288,28.508,36.41,25.37,,1,True,False,True,0.0,8.5,22.023809523809526,40.70119047619047,False,True,False,False,False,False,90.288,91.98366661192725,-1.6956666119272512
2026,Silverstone,FP1,NOR,1,McLaren,23.0,4.0,SOFT,5.0,False,90.676,28.635,36.483,25.558,,1,True,False,True,0.0,8.5,22.023809523809526,40.70119047619047,False,True,False,False,False,False,90.676,91.98366661192725,-1.307666611927246
2026,Silverstone,FP1,NOR,1,McLaren,24.0,4.0,SOFT,6.0,False,123.585,41.116,49.246,33.223,,1,True,False,True,0.0,8.5,22.023809523809526,40.70119047619047,False,True,False,False,False,False,123.585,91.98366661192725,31.601333388072746
2026,Silverstone,FP1,NOR,1,McLaren,25.0,4.0,SOFT,7.0,False,125.534,37.931,46.601,41.002,,1,True,False,True,0.0,8.5,22.023809523809526,40.70119047619047,False,True,False,False,False,False,125.534,91.98366661192725,33.55033338807276
2026,Silverstone,FP1,VER,3,Red Bull Racing,2.0,1.0,HARD,2.0,True,92.653,29.301,37.645,25.707,,1,True,False,True,0.0,8.5,22.023809523809526,40.70119047619047,False,True,False,False,False,False,92.653,91.55060351389753,1.102396486102478
2026,Silverstone,FP1,VER,3,Red Bull Racing,4.0,1.0,HARD,4.0,True,91.277,28.789,37.017,25.471,,1,True,False,True,0.0,8.5,22.023809523809526,40.70119047619047,False,True,False,False,False,False,91.277,91.55060351389753,-0.2736035138975268
