year,event,session,driver,driver_number,team,stint,compound,n_laps,stint_start_lap,stint_end_lap,tyre_age_start,tyre_age_end,pred_wear_s_per_lap,practice_wear_s_per_lap,loeo_wear_s_per_lap,field_wear_s_per_lap,live_wear_s_per_lap,actual_wear_s_per_lap,actual_wear_full_s_per_lap,wear_error,pred_plus_5_s,pred_plus_10_s,pred_plus_15_s,cliff_tyre_lap,recommended_pit_lap,actual_pit_lap,prior_source,notes
2025,Bahrain,R,ALB,23,Williams,1.0,SOFT,14,2.0,15.0,2.0,15.0,0.10076135358084251,-0.00029167238427515985,-0.017255708574231855,0.048542114623775036,0.20519983149497745,0.21500015077415469,0.17749784299839205,-0.11423879719331217,0.5038067679042125,1.007613535808425,1.5114203037126377,9.9,,16.0,live_field_lodo,practice slope negative; no pit call from wear
2025,Bahrain,R,ALB,23,Williams,2.0,HARD,14,18.0,31.0,2.0,15.0,0.11750494091678099,-0.0009179756532241379,0.02266767727297571,0.0851826805213186,0.18214946170770574,0.20633019987095252,0.17703691498680316,-0.08882525895417154,0.5875247045839049,1.1750494091678099,1.7625741137517148,8.5,,32.0,live_field_lodo,practice slope negative; no pit call from wear
2025,Bahrain,R,ALB,23,Williams,3.0,MEDIUM,22,36.0,57.0,4.0,25.0,0.047674004065496454,0.0033381819597486278,0.01277837057141363,0.07151100609824468,-0.06320631877826115,0.23328895233004007,0.09219827445287519,-0.1856149482645436,0.23837002032748228,0.47674004065496456,0.7151100609824468,21.0,,,live_field_lodo,no pit call from wear
2025,Bahrain,R,ALO,14,Aston Martin,1.0,MEDIUM,14,2.0,15.0,2.0,15.0,0.07374390971414652,0.0033381819597486278,0.01277837057141363,0.07145565133179209,0.07832042647885536,0.07221088180819815,0.08829827740136251,0.0015330279059483642,0.3687195485707326,0.7374390971414652,1.1061586457121977,13.6,,16.0,live_field_lodo,no pit call from wear
2025,Bahrain,R,ALO,14,Aston Martin,2.0,MEDIUM,14,18.0,31.0,2.0,15.0,0.11192767554419847,0.0033381819597486278,0.01277837057141363,0.07145565133179209,0.19287172396901123,0.2719924115662025,0.1181782319029852,-0.16006473602200405,0.5596383777209923,1.1192767554419847,1.678915133162977,8.9,,32.0,live_field_lodo,no pit call from wear
2025,Bahrain,R,ALO,14,Aston Martin,3.0,HARD,22,36.0,57.0,4.0,25.0,0.08865131614208009,-0.0009179756532241379,0.02266767727297571,0.08728622138763037,0.09138150565097952,0.10768273533883041,0.05942757603001306,-0.019031419196750318,0.44325658071040047,0.8865131614208009,1.3297697421312014,11.3,,,live_field_lodo,practice slope negative; no pit call from wear
2025,Bahrain,R,ANT,12,Mercedes,1.0,SOFT,10,2.0,11.0,5.0,14.0,0.05202019231421161,-0.00029167238427515985,-0.017255708574231855,0.05202019231421161,,0.2183272775459149,0.2183272775459149,-0.1663070852317033,0.26010096157105805,0.5202019231421161,0.7803028847131741,19.2,,12.0,field_lodo,practice slope negative; no pit call from wear
2025,Bahrain,R,ANT,12,Mercedes,2.0,MEDIUM,13,14.0,26.0,2.0,14.0,0.08430777066512896,0.0033381819597486278,0.01277837057141363,0.07067812078516289,0.11156707042506106,0.19246317294947946,0.12742792474944598,-0.1081554022843505,0.4215388533256448,0.8430777066512896,1.2646165599769343,11.9,,27.0,live_field_lodo,no pit call from wear
2025,Bahrain,R,ANT,12,Mercedes,3.0,SOFT,3,29.0,31.0,5.0,7.0,0.05202019231421161,-0.00029167238427515985,-0.017255708574231855,0.05202019231421161,,,,,0.26010096157105805,0.5202019231421161,0.7803028847131741,19.2,,32.0,field_lodo,practice slope negative; no pit call from wear
2025,Bahrain,R,ANT,12,Mercedes,4.0,SOFT,22,36.0,57.0,7.0,28.0,0.04678566763312123,-0.00029167238427515985,-0.017255708574231855,0.05202019231421161,0.03631661827094048,0.1875206069693668,0.1315287077667806,-0.14073493933624556,0.23392833816560615,0.4678566763312123,0.7017850144968185,21.4,,,live_field_lodo,practice slope negative; no pit call from wear
2025,Bahrain,R,BEA,87,Haas F1 Team,1.0,SOFT,12,2.0,13.0,2.0,13.0,0.06048807693387547,-0.00029167238427515985,-0.017255708574231855,0.050687511655078135,0.08008920749147014,0.1383242812604483,0.1185186249662418,-0.07783620432657282,0.30244038466937734,0.6048807693387547,0.9073211540081321,16.5,,14.0,live_field_lodo,practice slope negative; no pit call from wear
2025,Bahrain,R,BEA,87,Haas F1 Team,2.0,HARD,16,16.0,31.0,2.0,17.0,0.08956413189859616,-0.0009179756532241379,0.02266767727297571,0.08481616638440632,0.09906006292697585,0.1498286993929936,0.14059227031349666,-0.06026456749439743,0.4478206594929808,0.8956413189859616,1.3434619784789423,11.2,,32.0,live_field_lodo,practice slope negative; no pit call from wear
2025,Bahrain,R,BEA,87,Haas F1 Team,3.0,SOFT,22,36.0,57.0,4.0,25.0,0.03379167443671876,-0.00029167238427515985,-0.017255708574231855,0.050687511655078135,-0.04521139590024357,0.19908094314635846,0.1096940016458293,-0.1652892687096397,0.1689583721835938,0.3379167443671876,0.5068751165507814,29.6,,,live_field_lodo,practice slope negative; no pit call from wear
2025,Bahrain,R,BOR,5,Kick Sauber,1.0,MEDIUM,11,2.0,12.0,2.0,12.0,0.07472290657301656,0.0033381819597486278,0.01277837057141363,0.07472290657301656,,0.09358589925333818,0.09358589925333818,-0.018862992680321627,0.3736145328650828,0.7472290657301656,1.1208435985952483,13.4,,13.0,field_lodo,no pit call from wear
2025,Bahrain,R,BOR,5,Kick Sauber,2.0,HARD,17,15.0,31.0,2.0,18.0,0.0738088506855578,-0.0009179756532241379,0.02266767727297571,0.08242916397222029,0.05656822411223281,0.1057632124971718,0.1206323590927668,-0.031954361811614,0.369044253427789,0.738088506855578,1.107132760283367,13.5,,32.0,live_field_lodo,practice slope negative; no pit call from wear
2025,Bahrain,R,BOR,5,Kick Sauber,3.0,MEDIUM,22,36.0,57.0,4.0,25.0,0.06993468811907919,0.0033381819597486278,0.01277837057141363,0.07472290657301656,0.06035825121120446,0.11383327326286573,0.07663212338109562,-0.04389858514378654,0.34967344059539596,0.6993468811907919,1.0490203217861878,14.3,,,live_field_lodo,no pit call from wear
2025,Bahrain,R,DOO,7,Alpine,1.0,SOFT,7,2.0,8.0,2.0,8.0,0.05376923851078387,-0.00029167238427515985,-0.017255708574231855,0.05376923851078387,,,,,0.26884619255391934,0.5376923851078387,0.8065385776617581,18.6,,9.0,field_lodo,practice slope negative; no pit call from wear
2025,Bahrain,R,DOO,7,Alpine,2.0,MEDIUM,17,11.0,27.0,2.0,18.0,0.11540249961864328,0.0033381819597486278,0.01277837057141363,0.07064713993580309,0.20491321898432366,0.15483012201278964,0.16183441468887685,-0.039427622394146364,0.5770124980932164,1.1540249961864328,1.7310374942796491,8.7,,28.0,live_field_lodo,no pit call from wear
2025,Bahrain,R,DOO,7,Alpine,3.0,HARD,24,30.0,57.0,2.0,29.0,0.07084299013611865,-0.0009179756532241379,0.02266767727297571,0.08253686280833446,0.04745524479168701,0.12412287401695497,0.11927454777262628,-0.05327988388083632,0.3542149506805933,0.7084299013611866,1.0626448520417797,14.1,,,live_field_lodo,practice slope negative; no pit call from wear
2025,Bahrain,R,GAS,10,Alpine,1.0,SOFT,8,2.0,9.0,5.0,12.0,0.04906806589725521,-0.00029167238427515985,-0.017255708574231855,0.04906806589725521,,0.3110142907318978,0.3110142907318978,-0.2619462248346426,0.24534032948627604,0.4906806589725521,0.7360209884588281,20.4,,10.0,field_lodo,practice slope negative; no pit call from wear
2025,Bahrain,R,GAS,10,Alpine,2.0,MEDIUM,16,12.0,27.0,2.0,17.0,0.11300502665208385,0.0033381819597486278,0.01277837057141363,0.07221189538187699,0.1945912891924976,0.14347382980608353,0.12707570701518692,-0.030468803153999677,0.5650251332604193,1.1300502665208385,1.6950753997812578,8.8,,28.0,live_field_lodo,no pit call from wear
2025,Bahrain,R,GAS,10,Alpine,3.0,HARD,24,30.0,57.0,2.0,29.0,0.05615109553857707,-0.0009179756532241379,0.02266767727297571,0.0842266433078656,-0.02610569956346062,0.1778648186525954,0.14811239273880508,-0.12171372311401833,0.28075547769288534,0.5615109553857707,0.842266433078656,17.8,,,live_field_lodo,practice slope negative; no pit call from wear
2025,Bahrain,R,HAD,6,Racing Bulls,1.0,SOFT,4,2.0,5.0,2.0,5.0,0.05685893328168893,-0.00029167238427515985,-0.017255708574231855,0.05685893328168893,,,,,0.28429466640844464,0.5685893328168893,0.852883999225334,17.6,,6.0,field_lodo,practice slope negative; no pit call from wear
2025,Bahrain,R,HAD,6,Racing Bulls,2.0,MEDIUM,20,8.0,27.0,2.0,21.0,0.10344955239410256,0.0033381819597486278,0.01277837057141363,0.0688060083355856,0.17273664051113646,0.09838575512319264,0.12204514211144481,0.005063797270909914,0.5172477619705128,1.0344955239410256,1.5517432859115383,9.7,,28.0,live_field_lodo,no pit call from wear
2025,Bahrain,R,HAD,6,Racing Bulls,3.0,HARD,24,30.0,57.0,2.0,29.0,0.1251046344471659,-0.0009179756532241379,0.02266767727297571,0.0874085980050146,0.2004967073314685,0.10670992456621506,0.08517794992700047,0.01839470988095085,0.6255231722358295,1.251046344471659,1.8765695167074887,8.0,,,live_field_lodo,practice slope negative; no pit call from wear
2025,Bahrain,R,HAM,44,Ferrari,1.0,MEDIUM,15,2.0,16.0,2.0,16.0,0.1430816066424252,0.0033381819597486278,0.01277837057141363,0.06989145069005404,0.2894619185471676,0.07297591157798482,0.10686513629416916,0.07010569506444038,0.715408033212126,1.430816066424252,2.146224099636378,7.0,,17.0,live_field_lodo,no pit call from wear
2025,Bahrain,R,HAM,44,Ferrari,2.0,MEDIUM,13,19.0,31.0,2.0,14.0,0.09597857681359254,0.0033381819597486278,0.01277837057141363,0.06989145069005404,0.14815282906066954,0.029571413125035306,0.0299762896866265,0.06640716368855723,0.4798928840679627,0.9597857681359254,1.439678652203888,10.4,,32.0,live_field_lodo,no pit call from wear
2025,Bahrain,R,HAM,44,Ferrari,3.0,HARD,22,36.0,57.0,4.0,25.0,0.068705014265529,-0.0009179756532241379,0.02266767727297571,0.08300908522821714,0.04009687234015272,0.16706977641504148,0.14541024772772107,-0.09836476214951248,0.343525071327645,0.68705014265529,1.030575213982935,14.6,,,live_field_lodo,practice slope negative; no pit call from wear
2025,Bahrain,R,HUL,27,Kick Sauber,1.0,SOFT,3,2.0,4.0,2.0,4.0,0.0550725949684959,-0.00029167238427515985,-0.017255708574231855,0.0550725949684959,,,,,0.2753629748424795,0.550725949684959,0.8260889245274384,18.2,,5.0,field_lodo,practice slope negative; no pit call from wear
2025,Bahrain,R,HUL,27,Kick Sauber,2.0,MEDIUM,20,7.0,26.0,2.0,21.0,0.06805972240680272,0.0033381819597486278,0.01277837057141363,0.07288510836718794,0.058408950486032264,0.07235241093416266,0.08584998307143388,-0.004292688527359936,0.34029861203401357,0.6805972240680271,1.0208958361020408,14.7,,27.0,live_field_lodo,no pit call from wear
2025,Bahrain,R,HUL,27,Kick Sauber,3.0,MEDIUM,25,29.0,57.0,2.0,30.0,0.08839458289692353,0.0033381819597486278,0.01277837057141363,0.07288510836718794,0.11941353195639472,0.11623214346852248,0.07651682940303049,-0.027837560571598946,0.4419729144846177,0.8839458289692353,1.325918743453853,11.3,,,live_field_lodo,no pit call from wear
2025,Bahrain,R,LAW,30,Racing Bulls,1.0,MEDIUM,12,2.0,13.0,2.0,13.0,0.06742745915176747,0.0033381819597486278,0.01277837057141363,0.07345051563214769,0.05538134619100701,-0.05869423838113247,0.08824562923117847,0.12612169753289992,0.33713729575883733,0.6742745915176747,1.011411887276512,14.8,,14.0,live_field_lodo,no pit call from wear
2025,Bahrain,R,LAW,30,Racing Bulls,2.0,HARD,16,16.0,31.0,2.0,17.0,0.11718003789509418,-0.0009179756532241379,0.02266767727297571,0.0829401297553864,0.18565985417450973,0.1280251549324498,0.12509866638717415,-0.010845117037355606,0.585900189475471,1.171800378950942,1.7577005684264126,8.5,,32.0,live_field_lodo,practice slope negative; no pit call from wear
2025,Bahrain,R,LAW,30,Racing Bulls,3.0,SOFT,22,36.0,57.0,4.0,25.0,0.03752568650183618,-0.00029167238427515985,-0.017255708574231855,0.056288529752754266,-0.1259921296462663,0.13765686659644286,0.06408784368449379,-0.10013118009460667,0.1876284325091809,0.3752568650183618,0.5628852975275427,26.6,,,live_field_lodo,practice slope negative; no pit call from wear
2025,Bahrain,R,LEC,16,Ferrari,1.0,MEDIUM,15,2.0,16.0,2.0,16.0,0.11519915055776303,0.0033381819597486278,0.01277837057141363,0.06829051947971898,0.20901641271385116,0.04906529067347536,0.11304964523252971,0.06613385988428766,0.5759957527888151,1.1519915055776302,1.7279872583664455,8.7,,17.0,live_field_lodo,no pit call from wear
2025,Bahrain,R,LEC,16,Ferrari,2.0,MEDIUM,13,19.0,31.0,2.0,14.0,0.10578547108276508,0.0033381819597486278,0.01277837057141363,0.06829051947971898,0.18077537428885726,0.030327015752155,0.1318215238254101,0.07545845533061007,0.5289273554138254,1.0578547108276508,1.5867820662414762,9.5,,32.0,live_field_lodo,no pit call from wear
2025,Bahrain,R,LEC,16,Ferrari,3.0,HARD,22,36.0,57.0,4.0,25.0,0.08549690749342559,-0.0009179756532241379,0.02266767727297571,0.08078310881664162,0.09492450484699351,0.16052714759101122,0.14311552785087311,-0.07503024009758563,0.42748453746712795,0.8549690749342559,1.282453612401384,11.7,,,live_field_lodo,practice slope negative; no pit call from wear
2025,Bahrain,R,NOR,4,McLaren,1.0,SOFT,8,2.0,9.0,5.0,12.0,0.048918982442811614,-0.00029167238427515985,-0.017255708574231855,0.048918982442811614,,0.19662091875183804,0.19662091875183804,-0.14770193630902642,0.24459491221405807,0.48918982442811615,0.7337847366421743,20.4,,10.0,field_lodo,practice slope negative; no pit call from wear
