year,event,session,driver,driver_number,team,lap_number,stint,compound,tyre_life,fresh_tyre,lap_time_s,sector1_s,sector2_s,sector3_s,position,track_status,is_accurate,is_pit_lap,is_green,fuel_kg_burned,assumed_harvest_mj,air_temp_c,track_temp_c,rainfall,sess_FP1,sess_FP2,sess_FP3,sess_Q,sess_R,y_fuel_s,a_y_pred,residual_s
2026,Silverstone,R,NOR,1,McLaren,24.0,1.0,MEDIUM,24.0,True,94.882,30.112,38.62,26.15,3.0,1,True,False,True,41.4,8.5,24.758333333333333,40.014102564102565,False,False,False,False,False,True,96.12400000000001,91.72335749127973,4.400642508720281
2026,Silverstone,R,NOR,1,McLaren,25.0,1.0,MEDIUM,25.0,True,94.519,29.96,38.427,26.132,3.0,1,True,False,True,43.2,8.5,24.758333333333333,40.014102564102565,False,False,False,False,False,True,95.81500000000001,91.72335749127973,4.091642508720284
2026,Silverstone,R,NOR,1,McLaren,26.0,1.0,MEDIUM,26.0,True,94.724,29.94,38.729,26.055,3.0,1,True,False,True,45.0,8.5,24.758333333333333,40.014102564102565,False,False,False,False,False,True,96.074,91.72335749127973,4.35064250872027
2026,Silverstone,R,NOR,1,McLaren,27.0,1.0,MEDIUM,27.0,True,94.525,29.967,38.518,26.04,3.0,1,True,False,True,46.800000000000004,8.5,24.758333333333333,40.014102564102565,False,False,False,False,False,True,95.929,91.72335749127973,4.205642508720274
2026,Silverstone,R,NOR,1,McLaren,30.0,2.0,HARD,2.0,True,92.901,29.542,37.804,25.555,6.0,1,True,False,True,52.2,8.5,24.758333333333333,40.014102564102565,False,False,False,False,False,True,94.467,92.13867625079448,2.3283237492055235
2026,Silverstone,R,NOR,1,McLaren,31.0,2.0,HARD,3.0,True,93.454,29.679,38.043,25.732,6.0,1,True,False,True,54.0,8.5,24.758333333333333,40.014102564102565,False,False,False,False,False,True,95.074,92.13867625079448,2.935323749205523
2026,Silverstone,R,NOR,1,McLaren,32.0,2.0,HARD,4.0,True,93.196,29.74,37.777,25.679,6.0,1,True,False,True,55.800000000000004,8.5,24.758333333333333,40.014102564102565,False,False,False,False,False,True,94.87,92.13867625079448,2.7313237492055293
2026,Silverstone,R,NOR,1,McLaren,33.0,2.0,HARD,5.0,True,93.33,29.834,37.713,25.783,6.0,1,True,False,True,57.6,8.5,24.758333333333333,40.014102564102565,False,False,False,False,False,True,95.05799999999999,92.13867625079448,2.9193237492055175
2026,Silverstone,R,NOR,1,McLaren,34.0,2.0,HARD,6.0,True,93.468,29.718,37.892,25.858,6.0,1,True,False,True,59.4,8.5,24.758333333333333,40.014102564102565,False,False,False,False,False,True,95.25,92.13867625079448,3.111323749205525
2026,Silverstone,R,NOR,1,McLaren,35.0,2.0,HARD,7.0,True,93.532,29.893,37.847,25.792,5.0,1,True,False,True,61.2,8.5,24.758333333333333,40.014102564102565,False,False,False,False,False,True,95.368,92.13867625079448,3.22932374920552
2026,Silverstone,R,NOR,1,McLaren,36.0,2.0,HARD,8.0,True,93.514,29.912,37.887,25.715,5.0,1,True,False,True,63.0,8.5,24.758333333333333,40.014102564102565,False,False,False,False,False,True,95.404,92.13867625079448,3.265323749205521
2026,Silverstone,R,NOR,1,McLaren,37.0,2.0,HARD,9.0,True,93.913,29.821,38.265,25.826999999999998,5.0,1,True,False,True,64.8,8.5,24.758333333333333,40.014102564102565,False,False,False,False,False,True,95.857,92.13867625079448,3.718323749205524
2026,Silverstone,R,NOR,1,McLaren,40.0,3.0,MEDIUM,8.0,False,92.759,29.644,37.519,25.596,6.0,1,True,False,True,70.2,8.5,24.758333333333333,40.014102564102565,False,False,False,False,False,True,94.865,91.72335749127973,3.141642508720267
2026,Silverstone,R,NOR,1,McLaren,41.0,3.0,MEDIUM,9.0,False,93.022,29.693,37.646,25.683,6.0,1,True,False,True,72.0,8.5,24.758333333333333,40.014102564102565,False,False,False,False,False,True,95.182,91.72335749127973,3.458642508720274
2026,Silverstone,R,NOR,1,McLaren,42.0,3.0,MEDIUM,10.0,False,93.302,29.649,38.01,25.643,5.0,1,True,False,True,73.8,8.5,24.758333333333333,40.014102564102565,False,False,False,False,False,True,95.516,91.72335749127973,3.7926425087202773
2026,Silverstone,R,NOR,1,McLaren,43.0,3.0,MEDIUM,11.0,False,93.167,29.61,37.964,25.593,5.0,1,True,False,True,75.60000000000001,8.5,24.758333333333333,40.014102564102565,False,False,False,False,False,True,95.435,91.72335749127973,3.7116425087202742
2026,Silverstone,R,NOR,1,McLaren,44.0,3.0,MEDIUM,12.0,False,92.775,29.707,37.526,25.542,5.0,1,True,False,True,77.4,8.5,24.758333333333333,40.014102564102565,False,False,False,False,False,True,95.09700000000001,91.72335749127973,3.3736425087202804
2026,Silverstone,R,NOR,1,McLaren,45.0,3.0,MEDIUM,13.0,False,92.625,29.603,37.49,25.532,5.0,1,True,False,True,79.2,8.5,24.758333333333333,40.014102564102565,False,False,False,False,False,True,95.001,91.72335749127973,3.2776425087202767
2026,Silverstone,R,NOR,1,McLaren,46.0,3.0,MEDIUM,14.0,False,93.028,29.66,37.619,25.749,5.0,1,True,False,True,81.0,8.5,24.758333333333333,40.014102564102565,False,False,False,False,False,True,95.458,91.72335749127973,3.7346425087202704
2026,Silverstone,R,GAS,10,Alpine,3.0,1.0,MEDIUM,3.0,True,96.022,30.552,39.314,26.156,12.0,1,True,False,True,3.6,8.5,24.758333333333333,40.014102564102565,False,False,False,False,False,True,96.13000000000001,91.72335749127973,4.406642508720282
2026,Silverstone,R,GAS,10,Alpine,4.0,1.0,MEDIUM,4.0,True,96.294,30.874,39.105,26.315,12.0,1,True,False,True,5.4,8.5,24.758333333333333,40.014102564102565,False,False,False,False,False,True,96.456,91.72335749127973,4.732642508720275
2026,Silverstone,R,GAS,10,Alpine,5.0,1.0,MEDIUM,5.0,True,97.169,30.573,39.654,26.942,12.0,1,True,False,True,7.2,8.5,24.758333333333333,40.014102564102565,False,False,False,False,False,True,97.38499999999999,91.72335749127973,5.661642508720263
2026,Silverstone,R,GAS,10,Alpine,6.0,1.0,MEDIUM,6.0,True,96.336,30.456,39.57,26.31,11.0,1,True,False,True,9.0,8.5,24.758333333333333,40.014102564102565,False,False,False,False,False,True,96.606,91.72335749127973,4.8826425087202665
2026,Silverstone,R,GAS,10,Alpine,7.0,1.0,MEDIUM,7.0,True,97.056,31.197,39.707,26.152,11.0,1,True,False,True,10.8,8.5,24.758333333333333,40.014102564102565,False,False,False,False,False,True,97.38,91.72335749127973,5.656642508720267
2026,Silverstone,R,GAS,10,Alpine,8.0,1.0,MEDIUM,8.0,True,97.256,31.005,40.012,26.239,11.0,1,True,False,True,12.6,8.5,24.758333333333333,40.014102564102565,False,False,False,False,False,True,97.634,91.72335749127973,5.910642508720272
