year,event,session,driver,driver_number,team,lap_number,stint,compound,tyre_life,fresh_tyre,lap_time_s,sector1_s,sector2_s,sector3_s,position,track_status,is_accurate,is_pit_lap,is_green,fuel_kg_burned,assumed_harvest_mj,air_temp_c,track_temp_c,rainfall,sess_FP1,sess_FP2,sess_FP3,sess_Q,sess_R
2026,Silverstone,FP1,BOR,5,Audi,10.0,1.0,HARD,10.0,True,91.813,29.324,37.026,25.463,,1,True,False,True,0.0,8.5,22.023809523809526,40.70119047619047,False,True,False,False,False,False
2026,Silverstone,FP1,BOR,5,Audi,17.0,3.0,HARD,17.0,False,94.509,29.971,38.615,25.923000000000002,,1,True,False,True,0.0,8.5,22.023809523809526,40.70119047619047,False,True,False,False,False,False
2026,Silverstone,FP1,BOR,5,Audi,18.0,3.0,HARD,18.0,False,94.4,29.796,38.31,26.294,,1,True,False,True,0.0,8.5,22.023809523809526,40.70119047619047,False,True,False,False,False,False
2026,Silverstone,FP1,BOR,5,Audi,19.0,3.0,HARD,19.0,False,94.441,29.708,38.607,26.126,,1,True,False,True,0.0,8.5,22.023809523809526,40.70119047619047,False,True,False,False,False,False
2026,Silverstone,FP1,BOR,5,Audi,22.0,4.0,MEDIUM,2.0,True,91.035,29.018,36.864,25.153,,1,True,False,True,0.0,8.5,22.023809523809526,40.70119047619047,False,True,False,False,False,False
2026,Silverstone,FP1,BOR,5,Audi,25.0,5.0,MEDIUM,5.0,False,92.267,29.154,37.45,25.663,,1,True,False,True,0.0,8.5,22.023809523809526,40.70119047619047,False,True,False,False,False,False
2026,Silverstone,FP1,HAD,6,Red Bull Racing,2.0,1.0,HARD,2.0,True,93.177,29.716,37.74,25.721,,1,True,False,True,0.0,8.5,22.023809523809526,40.70119047619047,False,True,False,False,False,False
2026,Silverstone,FP1,HAD,6,Red Bull Racing,4.0,1.0,HARD,4.0,True,91.697,29.009,37.093,25.595,,1,True,False,True,0.0,8.5,22.023809523809526,40.70119047619047,False,True,False,False,False,False
2026,Silverstone,FP1,HAD,6,Red Bull Racing,6.0,1.0,HARD,6.0,True,90.969,28.809,36.816,25.344,,1,True,False,True,0.0,8.5,22.023809523809526,40.70119047619047,False,True,False,False,False,False
2026,Silverstone,FP1,HAD,6,Red Bull Racing,9.0,2.0,HARD,9.0,False,94.234,29.98,38.362,25.892,,1,True,False,True,0.0,8.5,22.023809523809526,40.70119047619047,False,True,False,False,False,False
2026,Silverstone,FP1,HAD,6,Red Bull Racing,10.0,2.0,HARD,10.0,False,93.708,29.874,38.102,25.732,,1,True,False,True,0.0,8.5,22.023809523809526,40.70119047619047,False,True,False,False,False,False
2026,Silverstone,FP1,HAD,6,Red Bull Racing,11.0,2.0,HARD,11.0,False,94.165,30.025,38.282,25.858,,1,True,False,True,0.0,8.5,22.023809523809526,40.70119047619047,False,True,False,False,False,False
2026,Silverstone,FP1,HAD,6,Red Bull Racing,13.0,2.0,HARD,13.0,False,93.492,29.818,38.068,25.606,,1,True,False,True,0.0,8.5,22.023809523809526,40.70119047619047,False,True,False,False,False,False
2026,Silverstone,FP1,HAD,6,Red Bull Racing,15.0,2.0,HARD,15.0,False,93.936,29.964,38.212,25.76,,1,True,False,True,0.0,8.5,22.023809523809526,40.70119047619047,False,True,False,False,False,False
2026,Silverstone,FP1,HAD,6,Red Bull Racing,16.0,2.0,HARD,16.0,False,94.36,30.198,38.326,25.836,,1,True,False,True,0.0,8.5,22.023809523809526,40.70119047619047,False,True,False,False,False,False
2026,Silverstone,FP1,HAD,6,Red Bull Racing,17.0,2.0,HARD,17.0,False,94.423,30.012,38.565,25.846,,1,True,False,True,0.0,8.5,22.023809523809526,40.70119047619047,False,True,False,False,False,False
2026,Silverstone,FP1,HAD,6,Red Bull Racing,20.0,3.0,SOFT,2.0,True,90.338,28.665,36.652,25.021,,1,True,False,True,0.0,8.5,22.023809523809526,40.70119047619047,False,True,False,False,False,False
2026,Silverstone,FP1,HAD,6,Red Bull Racing,22.0,3.0,SOFT,4.0,True,115.479,36.525,47.598,31.356,,1,True,False,True,0.0,8.5,22.023809523809526,40.70119047619047,False,True,False,False,False,False
2026,Silverstone,FP1,HAD,6,Red Bull Racing,23.0,3.0,SOFT,5.0,True,112.345,36.244,45.73,30.371,,1,True,False,True,0.0,8.5,22.023809523809526,40.70119047619047,False,True,False,False,False,False
