session,driver_number,driver,lap_number,stint,compound,tyre_age,lap_time_s,fuel_est_kg,te_index,min_gap_s,traffic_flag,air_temp,track_temp,e_deploy_lap_mj,e_harvest_lap_mj,soc_min_lap_mj,n_empty_battery_clips,n_superclips,empty_clip_duration_s,superclip_duration_s,lift_coast_duration_s,fuel_in_stint_kg,is_representative,event
R,5,BOR,43.0,2.0,MEDIUM,38.0,86.777,24.39999999999999,6.620073206530356,inf,0,32.6,52.9,6.311789948596255,3.533317898577905,0.0166882704896199,12,0,33.599999999999994,0.0,8.9,-66.60000000000001,1,Monza
R,5,BOR,44.0,2.0,MEDIUM,39.0,86.592,22.599999999999994,6.645090969505644,inf,0,32.5,53.0,6.354298400111491,3.59203931998938,0.0307527772277305,15,0,41.50000000000004,0.0,9.3,-68.4,1,Monza
R,5,BOR,45.0,2.0,MEDIUM,40.0,86.634,20.8,6.669498089857879,inf,0,32.6,52.7,6.366843838438497,3.5824046099142226,0.018016664012673,12,0,31.29999999999999,0.0,9.7,-70.2,1,Monza
R,5,BOR,46.0,2.0,MEDIUM,41.0,86.607,19.0,6.693323668269949,inf,0,32.6,52.7,6.329270609640529,3.545516675017797,0.0164468730001183,15,0,30.99999999999998,0.0,9.1,-72.0,1,Monza
R,5,BOR,47.0,2.0,MEDIUM,42.0,86.466,17.200000000000003,6.715383386334681,inf,0,32.8,52.3,6.2751085883328654,3.517475371014878,0.0661620798937554,8,0,41.8,0.0,10.3,-73.8,1,Monza
R,5,BOR,48.0,2.0,MEDIUM,43.0,86.363,15.399999999999991,6.736966958001855,inf,0,32.8,52.0,6.069482888699247,3.683659118014262,0.3881985855429997,20,0,35.70000000000001,0.0,9.8,-75.60000000000001,1,Monza
R,5,BOR,49.0,2.0,MEDIUM,44.0,86.395,13.599999999999994,6.755768921984256,inf,0,32.6,52.5,6.198783845955504,3.8193733484898496,0.3940766659750063,13,0,24.50000000000001,0.0,9.6,-77.4,1,Monza
R,5,BOR,50.0,2.0,MEDIUM,45.0,86.788,11.799999999999995,6.777646593635117,inf,0,32.7,52.3,6.284583249363546,3.460837265744744,0.015830457344111,11,0,42.400000000000006,0.0,9.4,-79.2,1,Monza
R,5,BOR,51.0,2.0,MEDIUM,46.0,86.904,10.0,6.799055862058796,inf,0,32.7,51.8,6.281954874131274,3.524257144468416,0.0577726678196394,19,0,35.1,0.0,9.5,-81.0,1,Monza
R,5,BOR,52.0,2.0,MEDIUM,47.0,86.851,8.200000000000003,6.82001636467413,inf,0,32.6,52.2,6.353597787523119,3.570733529202223,0.0478775310627703,18,0,35.899999999999984,0.0,9.6,-82.8,1,Monza
R,5,BOR,53.0,2.0,MEDIUM,48.0,86.322,6.399999999999992,6.839476438228843,inf,0,32.6,51.9,6.204690220534559,3.5552094911790046,0.1499346952361871,9,0,44.3,0.0,9.1,-84.60000000000001,1,Monza
R,55,SAI,1.0,1.0,SOFT,1.0,96.596,100.0,2.772588722239781,inf,1,31.8,55.8,6.298799320800499,4.323005857735746,1.51669011779085,12,0,27.900000000000023,0.0,15.9,0.0,1,Monza
R,55,SAI,2.0,1.0,SOFT,2.0,89.305,98.2,3.555348061489413,inf,0,32.0,56.2,5.538405082544612,4.156127200393094,1.382785275960441,11,0,33.600000000000044,0.0,13.2,-1.8,1,Monza
R,55,SAI,6.0,2.0,HARD,1.0,133.388,91.0,3.828641396489095,inf,1,32.5,56.4,6.424222377935806,4.629867289188676,1.6863087630049507,16,0,35.50000000000004,0.0,20.200000000000003,0.0,0,Monza
R,55,SAI,7.0,2.0,HARD,2.0,88.332,89.2,4.174387269895637,inf,0,32.5,56.3,5.1861308262263766,4.487433117279517,2.051763378241883,12,0,35.600000000000016,0.0,14.6,-1.8,1,Monza
R,55,SAI,8.0,2.0,HARD,3.0,88.665,87.4,4.454347296253507,inf,1,32.4,56.2,5.372409330008788,4.326146376351741,1.634999709426791,13,0,30.700000000000006,0.0,13.4,-3.6,1,Monza
R,55,SAI,9.0,2.0,HARD,4.0,88.223,85.6,4.672828834461906,inf,0,32.5,56.4,6.279491376752569,3.878873500414981,0.349850823232359,11,1,31.899999999999984,3.299999999999996,9.2,-5.4,1,Monza
R,55,SAI,10.0,2.0,HARD,5.0,87.945,83.8,4.852030263919617,inf,0,32.4,55.8,6.24401787408812,3.659620861667402,0.0099848821183075,15,0,40.89999999999999,0.0,8.200000000000001,-7.2,1,Monza
R,55,SAI,11.0,2.0,HARD,6.0,87.155,82.0,4.997212273764115,inf,0,32.4,55.8,5.9443238422194575,4.023988266670794,0.7449508120615127,12,0,36.8,0.0,11.3,-9.0,1,Monza
R,55,SAI,12.0,2.0,HARD,7.0,87.941,80.2,5.1298987149230735,inf,0,32.4,55.3,5.68352883421723,4.21364741989006,1.2448674762945553,14,0,34.199999999999974,0.0,13.5,-10.8,1,Monza
R,55,SAI,13.0,2.0,HARD,8.0,87.268,78.4,5.241747015059643,inf,0,32.4,54.9,5.305872611078369,4.191364206275489,1.62413820891018,13,0,29.3,0.0,12.7,-12.6,1,Monza
R,55,SAI,14.0,2.0,HARD,9.0,87.406,76.6,5.337538079701318,inf,0,32.5,55.4,5.733032035783954,4.109957066807903,1.2051354219114108,13,0,35.200000000000045,0.0,13.2,-14.4,1,Monza
R,55,SAI,15.0,2.0,HARD,10.0,87.571,74.8,5.43372200355424,inf,0,32.6,53.8,5.644480877903057,4.24688774949267,1.357825945621273,14,0,32.20000000000002,0.0,12.2,-16.2,1,Monza
R,55,SAI,16.0,2.0,HARD,11.0,88.221,73.0,5.525452939131784,inf,0,32.6,54.9,5.541904473439411,4.326991982614739,1.4173228079302074,17,1,33.100000000000016,3.300000000000003,11.8,-18.0,1,Monza
R,55,SAI,17.0,2.0,HARD,12.0,87.494,71.2,5.605802066295998,inf,0,32.7,54.7,5.553486459217405,4.207388486934455,1.3400602995826008,12,1,29.000000000000007,3.200000000000001,10.0,-19.8,1,Monza
