session,driver_number,driver,lap_number,stint,compound,tyre_age,lap_time_s,fuel_est_kg,te_index,min_gap_s,traffic_flag,air_temp,track_temp,e_deploy_lap_mj,e_harvest_lap_mj,soc_min_lap_mj,n_empty_battery_clips,n_superclips,empty_clip_duration_s,superclip_duration_s,lift_coast_duration_s,fuel_in_stint_kg,is_representative
R,41,LIN,43.0,2.0,HARD,15.0,94.576,24.39999999999999,6.733401891837359,inf,0,25.4,39.0,6.940880652797505,3.741759788713748,0.16291134457542142,13,0,35.800000000000004,0.0,15.5,-25.2,1
R,41,LIN,44.0,2.0,HARD,16.0,94.327,22.599999999999994,6.754604099487962,inf,0,25.4,38.7,7.099271900820956,3.5771952256830484,0.06165328684207853,13,0,38.199999999999996,0.0,15.0,-27.0,1
R,41,LIN,45.0,2.0,HARD,17.0,94.039,20.799999999999997,6.777646593635117,inf,0,25.4,38.7,7.0364066703990265,3.5796898266339574,0.08374659709790507,11,0,36.599999999999994,0.0,14.9,-28.8,1
R,41,LIN,46.0,2.0,HARD,18.0,94.257,19.0,6.8001700683022,inf,0,25.6,38.7,7.107120566625913,3.6266045854932285,0.03936719798084864,13,0,36.500000000000014,0.0,14.9,-30.6,1
R,41,LIN,49.0,3.0,SOFT,1.0,106.269,13.599999999999994,6.827629234502852,inf,0,25.7,39.5,6.334653308540936,3.099661117156548,0.0010453890886509122,9,0,33.700000000000024,0.0,19.8,0.0,1
R,41,LIN,50.0,3.0,SOFT,2.0,133.907,11.799999999999997,6.840546529288687,inf,0,25.4,39.7,5.3025,3.4439937685344955,0.8931128636516881,6,0,22.599999999999987,0.0,41.2,-1.8,1
R,41,LIN,52.0,3.0,SOFT,4.0,141.471,8.200000000000003,6.870053411798126,inf,1,25.8,40.1,1.1725,2.3615114633099212,3.562923668424395,5,0,4.199999999999989,0.0,38.800000000000004,-5.4,1
R,43,COL,1.0,1.0,MEDIUM,1.0,106.174,100.0,2.772588722239781,inf,1,24.4,40.6,5.357516158277996,5.244231669143421,1.720060050478254,13,0,24.799999999999976,0.0,18.0,0.0,0
R,43,COL,2.0,1.0,MEDIUM,2.0,97.205,98.2,3.5263605246161616,inf,0,24.6,42.2,6.365433859899494,4.67207047742504,1.4209450126558616,10,0,29.700000000000003,0.0,15.0,-1.8,1
R,43,COL,3.0,1.0,MEDIUM,3.0,96.677,96.4,3.9889840465642745,inf,0,24.6,42.3,6.752118941701982,3.9857386337012795,0.5755785796348226,13,0,31.199999999999985,0.0,15.8,-3.6,1
R,43,COL,4.0,1.0,MEDIUM,4.0,96.311,94.6,4.31748811353631,inf,0,24.5,41.7,5.767698973386706,4.597838517443449,1.4958723404980765,9,0,28.899999999999984,0.0,16.7,-5.4,1
R,43,COL,5.0,1.0,MEDIUM,5.0,96.694,92.8,4.564348191467836,inf,0,24.5,42.6,6.190114942588148,4.764222193800249,1.5957866518814527,13,0,30.599999999999984,0.0,17.400000000000002,-7.2,1
R,43,COL,6.0,1.0,MEDIUM,6.0,97.119,91.0,4.770684624465665,inf,0,24.5,42.3,7.481300595983088,4.2642981621855895,0.1885739015082294,13,0,25.899999999999977,0.0,14.8,-9.0,1
R,43,COL,7.0,1.0,MEDIUM,7.0,96.459,89.2,4.941642422609304,inf,0,24.8,42.3,6.383894023457907,4.661220322983388,1.3752400133224714,12,0,31.599999999999998,0.0,16.6,-10.8,1
R,43,COL,8.0,1.0,MEDIUM,8.0,97.208,87.4,5.081404364984463,inf,0,25.0,42.4,5.955324225601834,4.5674049482319425,1.7459079710890872,12,0,29.399999999999995,0.0,17.7,-12.6,1
R,43,COL,9.0,1.0,MEDIUM,9.0,96.548,85.6,5.204006687076795,inf,0,25.3,41.5,6.302720817350364,4.757318199682091,1.561842364869438,14,0,34.800000000000004,0.0,16.3,-14.4,1
R,43,COL,10.0,1.0,MEDIUM,10.0,97.468,83.8,5.313205979041787,inf,0,25.2,42.4,7.021916504143127,4.379962524698722,0.9216801367404068,14,0,32.89999999999999,0.0,13.3,-16.2,1
R,43,COL,11.0,1.0,MEDIUM,11.0,96.477,82.0,5.407171771460119,inf,0,25.2,42.4,6.731439982675099,4.058290418042139,0.7234460646864636,11,0,33.400000000000006,0.0,15.5,-18.0,1
R,43,COL,12.0,1.0,MEDIUM,12.0,96.843,80.2,5.501258210544727,inf,0,24.9,42.4,7.34894246272374,3.9467756679280597,0.046140615272505306,15,0,30.399999999999977,0.0,16.2,-19.8,1
R,43,COL,13.0,1.0,MEDIUM,13.0,96.073,78.4,5.58724865840025,inf,0,25.0,42.4,7.099242473824907,4.069598185884003,0.3947702851052179,14,0,36.39999999999999,0.0,14.100000000000001,-21.6,1
R,43,COL,14.0,1.0,MEDIUM,14.0,95.917,76.6,5.666426688112432,inf,0,25.0,43.8,6.650159126755149,4.106268597804895,0.8128885286333478,15,0,31.600000000000012,0.0,15.3,-23.400000000000002,1
R,43,COL,15.0,1.0,MEDIUM,15.0,95.857,74.8,5.736572297479192,inf,0,24.9,43.7,7.128486705663075,4.052113895627841,0.34888128839240207,12,0,38.80000000000002,0.0,13.9,-25.2,1
R,43,COL,16.0,1.0,MEDIUM,16.0,96.579,73.0,5.799092654460526,inf,0,25.0,42.9,7.203342349522754,4.160247549439644,0.29986110242114994,14,0,35.800000000000004,0.0,14.8,-27.0,1
R,43,COL,17.0,1.0,MEDIUM,17.0,96.239,71.2,5.857933154483459,inf,0,24.9,42.6,7.1058495039598935,4.003925431787601,0.25457364708496955,11,0,36.69999999999998,0.0,15.700000000000001,-28.8,1
R,43,COL,18.0,1.0,MEDIUM,18.0,96.248,69.4,5.905361848054571,inf,0,25.0,42.6,7.0071518142384,4.032186445225047,0.3671962137361705,11,0,36.69999999999999,0.0,14.700000000000001,-30.6,1
R,43,COL,19.0,1.0,MEDIUM,19.0,96.072,67.6,5.955837369464831,inf,0,25.3,41.5,6.820483245882771,4.012407987493376,0.32610741769860474,11,0,34.90000000000003,0.0,13.3,-32.4,1
R,43,COL,20.0,1.0,MEDIUM,20.0,95.78,65.8,6.0063531596017325,inf,0,25.3,40.8,7.043387824240389,4.004905871806628,0.3774803445365429,12,0,34.90000000000002,0.0,13.9,-34.2,1
